variant_uncached,repetition,seat,seed,won_uncached,final_vp_uncached,turns_played_uncached,roads_uncached,settlements_uncached,cities_uncached,dev_cards_uncached,has_longest_road_uncached,has_largest_army_uncached,runtime_seconds_uncached,variant_cached,won_cached,final_vp_cached,turns_played_cached,roads_cached,settlements_cached,cities_cached,dev_cards_cached,has_longest_road_cached,has_largest_army_cached,runtime_seconds_cached
uncached,0,0,20260827,1,10,57,8,5,1,5,0,0,1.130222499370575,cached,1,10,57,8,5,1,5,0,0,1.104312957264483
uncached,0,1,20260828,0,7,123,14,5,0,1,1,0,1.8329151663929224,cached,0,7,123,14,5,0,1,1,0,1.8771850420162082
uncached,0,2,20260829,1,10,127,12,5,1,2,1,0,2.355110582895577,cached,1,10,127,12,5,1,2,1,0,2.2614698335528374
uncached,0,3,20260830,0,7,109,12,5,1,5,0,0,1.9801965411752462,cached,0,7,109,12,5,1,5,0,0,1.9642936252057552
uncached,1,0,20260831,1,10,109,8,2,3,6,0,0,1.7498845420777798,cached,1,10,109,8,2,3,6,0,0,1.7526823347434402
uncached,1,1,20260832,1,10,166,10,1,4,3,0,0,2.665658125653863,cached,1,10,166,10,1,4,3,0,0,2.642742165364325
uncached,1,2,20260833,0,8,94,9,4,1,3,0,0,1.6425268333405256,cached,0,8,94,9,4,1,3,0,0,1.643671540543437
uncached,1,3,20260834,1,10,96,10,2,3,3,0,0,1.7139400839805603,cached,1,10,96,10,2,3,3,0,0,2.182345749810338
uncached,2,0,20260835,0,6,122,14,5,0,2,0,0,2.27971529122442,cached,0,6,122,14,5,0,2,0,0,2.2644082903862
uncached,2,1,20260836,0,5,61,7,5,0,0,0,0,0.9218216249719262,cached,0,5,61,7,5,0,0,0,0,0.9049516664817929
uncached,2,2,20260837,1,10,139,13,5,1,2,1,0,2.160327791236341,cached,1,10,139,13,5,1,2,1,0,2.132673499174416
uncached,2,3,20260838,0,8,133,13,5,0,2,1,0,2.23728262539953,cached,0,8,133,13,5,0,2,1,0,2.256301125511527
uncached,3,0,20260839,0,7,131,6,2,2,5,0,0,1.9700507493689656,cached,0,7,131,6,2,2,5,0,0,1.8790383758023381
uncached,3,1,20260840,0,7,160,15,5,1,4,0,0,2.138206958770752,cached,0,7,160,15,5,1,4,0,0,2.1357276663184166
uncached,3,2,20260841,1,10,119,6,2,3,8,0,0,1.7982529997825623,cached,1,10,119,6,2,3,8,0,0,1.7676957082003355
uncached,3,3,20260842,0,8,99,10,3,2,3,0,0,1.7827885411679745,cached,0,8,99,10,3,2,3,0,0,1.757888125255704
uncached,4,0,20260843,0,7,134,12,4,0,5,0,0,1.9302904168143868,cached,0,7,134,12,4,0,5,0,0,1.9452018337324262
uncached,4,1,20260844,1,10,106,12,5,1,2,1,0,1.8360425410792232,cached,1,10,106,12,5,1,2,1,0,1.83469841722399
uncached,4,2,20260845,0,6,106,9,1,2,5,0,0,1.548816291615367,cached,0,6,106,9,1,2,5,0,0,1.5448092501610518
uncached,4,3,20260846,1,10,148,9,1,4,4,0,0,2.1967243747785687,cached,1,10,148,9,1,4,4,0,0,2.1908369176089764
